scheme,potential
Cu(2) + e(-1) -> Cu,-0.5
Ni(2) + e(-1) -> Ni,0.81
Al(3) + e(-1) -> Al,-1.662
CO2 + H(1) + e(-1) -> H2C2O4,0.699
Ba(2) + e(-1) -> Ba,-2.906
Br2 + e(-1) -> Br(-1),1.065
BrO3(-1) + H(1) + e(-1) -> Br2 + H2O,1.52
BrO3(-1) + H(1) + e(-1) -> Br(-1) + H2O,1.44
Cd(2) + e(-1) -> Cd,-0.403
Ca(2) + e(-1) -> Ca,-2.866
Cl2 + e(-1) -> Cl(-1),1.359
H(1) + HClO + e(-1) -> Cl2 + H2O,1.63
ClO3(-1) + H(1) + e(-1) -> Cl2 + H2O,1.47
Cr(3) + e(-1) -> Cr(2),-0.408
Cr(3) + e(-1) -> Cr,-0.744
Co(2) + e(-1) -> Co,-0.277
Co(3) + e(-1) -> Co(2),1.808
Cu(2) + e(-1) -> Cu(1),0.153
Cu(1) + e(-1) -> Cu,0.521
Cu(2) + I(-1) + e(-1) -> CuI,0.86
CuI + e(-1) -> Cu + I(-1),-0.185
F2 + H(1) + e(-1) -> HF,3.06
H(1) + e(-1) -> H2,0.0
I2 + e(-1) -> I(-1),0.5355
I3(-1) + e(-1) -> I(-1),0.536
H(1) + IO3(-1) + e(-1) -> H2O + I2,1.196
Fe(2) + e(-1) -> Fe,-0.44
Fe(3) + e(-1) -> Fe(2),0.771
Pb(2) + e(-1) -> Pb,-0.126
H(1) + PbO2 + e(-1) -> H2O + Pb(2),1.455
PbSO4 + e(-1) -> Pb + SO4(-2),-0.35
Li(1) + e(-1) -> Li,-3.045
Mg(2) + e(-1) -> Mg,-2.363
Mn(2) + e(-1) -> Mn,-1.18
H(1) + MnO2 + e(-1) -> H2O + Mn(2),1.23
Hg(2) + e(-1) -> Hg,0.854
H(1) + O2 + e(-1) -> H2O,1.229
H(1) + O3 + e(-1) -> H2O + O2,2.07
Pd(2) + e(-1) -> Pd,0.987
H(1) + H3AsO4 + e(-1) -> H2O + H3AsO3,0.559
Cr2O7(-2) + H(1) + e(-1) -> Cr(3) + H2O,1.33
H(1) + H5IO6 + e(-1) -> H2O + IO3(-1),1.601
H(1) + MnO4(-1) + e(-1) -> H2O + Mn(2),1.23
H(1) + MnO4(-1) + e(-1) -> H2O + MnO2,1.695
MnO4(-1) + e(-1) -> MnO4(-2),0.564
H(1) + NO3(-1) + e(-1) -> H2O + HNO2,0.94
